,X.MI,Y.MI,Z.MI,A.MI,C.MI,E.MI,D.MI,G.MI,I.MI,M.MI,P.MI,R.MI,S.MI,T.MI,U.MI
2019-01-03,-0.0085,0.0,0.00099,-0.00788,-0.01786,0.00039,0.00434,0.00275,-0.00263,-0.00082,0.00401,-0.01069,-0.02588,0.02002,-0.01422
2019-01-04,0.02584,-0.00482,0.01377,0.04256,-0.00451,0.01367,0.03549,0.01264,0.05016,0.05777,0.01221,0.04344,0.01904,0.01293,0.05787
2019-01-07,-0.01414,0.00241,0.02412,0.00915,0.06142,-0.00039,-0.00883,-0.00306,0.01677,-0.00181,-0.00141,0.02125,0.00882,-0.00396,0.02611
2019-01-08,0.00681,-0.00483,0.01043,0.00833,0.1752,0.00426,-0.00621,-0.00068,-0.01163,-0.00311,-0.00539,0.03041,0.00283,0.00436,-0.01655
2019-01-09,-0.0034,0.01203,-0.00094,0.02417,-0.00358,-0.00232,0.00916,0.00916,-0.00149,-0.00521,0.0099,0.02683,0.01792,-0.02056,0.00735
2019-01-10,0.01298,0.0,0.00094,0.00999,0.0107,0.01652,-0.00098,-0.00135,0.0072,0.00052,0.01314,-0.00352,-0.0106,0.00903,0.01206
2019-01-11,0.00224,-0.0048,-0.00283,-0.00846,0.01058,-0.00957,-0.00507,0.00842,-0.00496,0.01246,0.0025,0.00414,-0.00788,0.0004,0.00796
2019-01-14,0.00446,0.0048,-0.01142,0.00653,-0.05037,0.00192,-0.00353,0.00234,-0.01463,-0.01089,0.0047,-0.00414,-0.00226,0.002,-0.01926
2019-01-15,-0.00335,0.0,-0.01058,0.00931,-0.0037,0.00192,0.00916,0.002,-0.01259,-0.0013,-0.00442,0.01973,0.00565,0.00159,-0.03208
2019-01-16,0.00967,-0.01689,0.02295,0.00332,0.0,-0.00038,0.0021,0.01655,0.03662,0.02272,0.01839,0.00992,0.00562,0.02632,0.05661
2019-01-17,-0.0051,0.06134,0.00565,-0.01548,-0.03774,0.00421,-0.00435,0.00197,-0.00816,0.00128,0.00624,0.00262,-0.00505,0.02034,-0.00584
2019-01-18,0.02363,-0.02784,0.01214,0.03595,0.03031,0.01289,0.02706,0.00718,0.01234,0.00407,0.02482,-0.0002,0.01287,-0.07472,0.00772
2019-01-21,0.00043,-0.02381,-0.00559,-0.00079,-0.00749,0.00348,-0.00425,0.00163,0.00025,0.00279,0.00184,0.01,-0.02334,-0.02655,-0.00319
2019-01-22,-0.00796,0.01435,-0.00656,-0.00375,-0.02281,-0.00232,-0.00482,-0.00521,-0.00615,-0.0033,-0.00952,-0.02091,-0.01838,-0.06447,-0.02167
2019-01-23,-0.00131,0.08642,-0.00377,-0.00356,0.01527,-0.00776,-0.01111,0.00424,0.00615,0.00076,0.00926,-0.01618,0.00203,0.00537,0.01639
2019-01-24,0.00808,-0.00218,0.00939,0.01183,0.02985,0.00892,0.00696,-0.00195,-0.00541,0.00178,0.00237,0.02246,-0.00203,0.00999,0.00772
2019-01-25,0.00995,0.05315,0.00093,0.03011,0.0,0.00231,0.01076,0.00682,0.01784,0.01033,0.00993,-0.01076,0.0198,0.01577,0.03158
2019-01-28,-0.00984,-0.02728,-0.0075,-0.00744,0.00367,-0.00541,-0.00965,-0.00129,-0.00925,-0.01262,-0.0013,-0.02355,-0.01575,-0.00239,-0.02578
2019-01-29,0.00758,-0.02151,0.00936,-0.00345,-0.01105,0.01499,0.00622,0.00065,0.00147,-0.00765,-0.00313,0.00417,0.00144,-0.00174,-0.01239
2019-01-30,-0.00432,-0.01313,0.0,-0.0054,-0.01869,-0.00153,0.00837,0.00065,0.00608,0.00204,0.00157,0.01774,0.01516,0.01042,-0.00777
2019-01-31,-0.00391,0.02394,-0.00748,-0.00271,-0.0229,0.0061,0.011,-0.01041,-0.03265,-0.0306,-0.02055,0.10454,-0.00684,0.04848,-0.04079
2019-02-01,0.00974,-0.01735,-0.01228,0.02677,-0.01949,-0.0184,-0.0023,-0.00755,-0.01627,-0.02885,-0.02234,0.01825,0.00797,-0.00433,-0.02774
2019-02-04,-0.00097,-0.00659,0.00946,-0.01578,0.0,0.0027,0.00095,0.0046,-0.00051,-0.00625,0.02314,-0.00226,0.00085,0.01883,-0.01251
2019-02-05,0.01168,0.01963,0.00094,0.01125,-0.01188,-0.00193,0.01036,0.00458,0.01578,0.03326,0.01635,0.01707,0.0017,0.01868,0.02144
2019-02-06,-0.00288,-0.0065,0.01401,-0.02126,0.0,0.00193,-0.00537,-0.00589,0.02365,0.02114,0.00548,-0.00357,0.00395,0.00318,0.04271
2019-02-07,-0.01312,-0.00654,-0.01119,-0.04211,0.01188,-0.01008,-0.02218,-0.01189,-0.02788,-0.00336,-0.03065,-0.02581,-0.01133,-0.03267,-0.01935
2019-02-08,-0.01473,-0.01989,-0.00564,-0.03118,-0.01587,-0.00586,-0.00124,-0.00901,-0.00455,0.0044,0.00321,-0.00046,-0.00629,-0.03293,0.01001
2019-02-11,0.01473,0.0111,0.03704,0.00623,-0.01207,0.00742,0.00919,0.00502,0.01218,0.01739,0.01196,0.00549,0.01706,0.01743,0.01858
2019-02-12,0.00454,-0.02007,0.03747,0.02333,-0.00813,0.01122,0.00721,0.00565,0.0032,0.00506,0.01469,0.01405,0.03599,0.0027,0.02294
2019-02-13,0.00086,-0.00678,0.01564,0.01526,0.0202,0.00346,0.00675,0.0076,0.00348,0.01775,0.01011,-0.00316,0.03421,0.01627,0.02133
2019-02-14,-0.00637,-0.00911,-0.01827,-0.01445,-0.00803,-0.00077,-0.00513,-0.01159,-0.01451,-0.00621,-0.01193,-0.00362,-0.03367,-0.01399,-0.02226
2019-02-15,0.03189,-0.01383,0.01827,0.01763,0.01202,0.00459,0.02274,0.01422,0.03126,0.03504,0.01038,0.00857,0.00136,0.06205,0.05156
2019-02-18,-0.00738,0.02067,0.01455,-0.00119,-0.01202,0.00153,0.0037,0.00491,0.00875,0.00241,0.00361,0.00045,0.02041,0.03143,0.03105
2019-02-19,0.00801,0.03132,-0.00085,0.00417,-0.0081,-0.00344,0.00145,-0.00919,-0.00461,-0.00457,-0.00309,-0.00135,-0.00133,0.01163,-0.01409
2019-02-20,0.01002,-0.00442,0.01099,0.02926,0.00406,0.00115,0.00355,0.00395,0.00049,0.00361,-0.00284,-0.0027,-0.00775,0.00298,0.00123
2019-02-21,0.0059,-0.01561,0.01337,0.00096,-0.00813,0.00267,0.00118,-0.00033,-0.00806,-0.01015,0.00387,0.0036,-0.01787,-0.01612,-0.02804
2019-02-22,0.00268,0.02879,-0.01253,0.00403,0.0202,0.00608,0.00118,0.00459,0.00098,0.00267,0.00309,-0.0018,0.00136,0.01612,0.00234
2019-02-25,0.00411,-0.00877,0.00168,0.02045,0.00399,-0.00228,-0.00498,0.01041,0.0206,0.01252,0.0041,0.00941,0.00571,-0.00335,0.02884
2019-02-26,0.0,0.02823,-0.00168,-0.0015,0.00398,0.0087,-0.00013,0.00452,-0.00385,0.01543,0.01069,0.01285,0.01507,-0.01239,0.00017
2019-02-27,-0.00133,-0.02384,0.00336,-0.00867,0.00396,-0.00226,0.00079,0.00064,0.02614,0.01054,0.00025,-0.0084,-0.00294,0.00339,0.02122
2019-02-28,0.00287,0.01091,0.02645,-0.00227,0.0576,0.00377,-0.00369,0.01057,0.01744,0.02781,0.00379,0.00443,0.0008,0.00862,0.02128
2019-03-01,0.01059,-0.0153,-0.00819,0.0132,0.00743,-0.00113,-0.00848,0.00603,-0.00508,-0.02038,0.00076,0.01361,0.01567,-0.00674,0.0015
2019-03-04,0.00233,0.00659,0.01226,0.00206,-0.03774,-0.00188,0.00478,0.006,0.00347,0.00898,-0.00556,0.01041,-0.00423,0.00375,-0.00956
2019-03-05,0.0003,-0.00659,-0.00244,-0.01109,0.00766,0.00451,0.00489,-0.00063,-0.00185,0.0016,0.00455,-0.0013,-0.01816,0.02915,-0.00388
2019-03-06,0.00303,0.0,0.01616,-0.01313,-0.00382,0.01305,0.0063,0.00691,0.00944,0.0186,0.00202,-0.00737,0.00457,0.02655,0.00135
2019-03-07,-0.00769,-0.00221,-0.02269,-0.0327,0.0,0.01908,0.0,-0.01196,-0.02248,-0.01677,0.0005,-0.00174,-0.01568,-0.00675,-0.0307
2019-03-08,-0.00244,-0.00664,0.01141,-0.00934,0.00382,-0.00328,-0.02063,-0.00444,-0.00682,-0.01034,-0.01726,-0.00612,-0.0176,-0.00751,-0.02558
2019-03-11,0.00264,-0.00222,0.01208,0.01171,-0.02708,-0.00439,0.01024,0.00476,0.00869,0.01421,0.01145,0.0148,0.01896,-0.00721,0.02523
2019-03-12,-0.00254,0.00444,0.0008,0.00079,-0.0198,0.00694,0.00277,-0.00222,-0.0007,-0.00342,0.0048,-0.0026,-0.02035,-0.06117,-0.00472
2019-03-13,0.01103,0.0,0.00319,0.00531,0.01587,-0.00219,0.02475,0.00285,0.00862,0.01406,0.00252,-0.00521,0.06714,0.00652,0.01356
2019-03-14,0.00412,0.00883,0.00952,0.00157,0.0,0.00036,-0.00039,0.01226,0.00717,0.00427,0.00401,0.00824,-0.00443,0.01592,0.0127
2019-03-15,0.00888,-0.03808,-0.00952,0.01052,0.00784,-0.00329,0.00321,0.02071,0.01328,0.00782,0.01095,0.00732,0.00702,0.01382,0.0017
2019-03-18,-0.00678,0.03808,0.00239,-0.00837,-0.00784,0.00511,0.00996,0.00853,0.01534,0.02114,0.00863,-0.00215,-0.02121,0.0202,0.02737
2019-03-19,0.00155,-0.0022,0.00555,0.03042,-0.00394,0.00399,0.00923,-0.00121,0.00134,-0.00612,0.02544,0.00258,0.00764,-0.02689,0.01235
2019-03-20,-0.00305,-0.00221,0.00158,-0.01934,0.02344,0.00434,-0.0072,-0.00243,-0.00269,-0.01903,0.00952,-0.00947,-0.00897,-0.02419,-0.00772
2019-03-21,-0.00976,-0.00442,0.00158,-0.00155,0.01152,0.00647,0.00342,0.00334,-0.00675,0.00735,0.02319,0.00475,0.0,0.01368,-0.01746
2019-03-22,-0.00945,0.00442,-0.00871,-0.02014,0.0,0.00963,-0.00825,-0.00762,-0.02677,-0.00802,-0.00907,-0.01475,-0.01764,-0.00796,-0.04636
2019-03-25,0.00163,-0.02007,0.00159,0.00059,-0.01152,-0.00249,-0.00485,-0.00061,-0.00348,-0.00943,0.0035,0.01303,0.00404,0.00228,0.0014
2019-03-26,0.00559,0.00449,0.0,-0.00237,-0.01165,0.01449,-0.00051,-0.00061,-0.00256,0.00764,0.00395,0.01626,0.01308,0.00869,-0.01396
2019-03-27,0.00324,0.01336,0.01027,0.01102,0.01165,0.0021,-0.00167,0.0055,0.00767,0.0204,0.00023,0.00466,0.00053,0.0075,0.02704
2019-03-28,-0.00121,0.00221,-0.01345,-0.00255,-0.01949,-0.00491,-0.00708,-0.00213,0.00185,0.01091,-0.00348,-0.00296,-0.00771,0.01003,-0.01906
2019-03-29,-0.00843,0.0,0.00635,0.02289,0.00784,0.00316,0.01755,0.00699,0.00323,0.0052,0.0088,0.01263,0.02088,0.02447,0.00879
2019-04-01,0.0212,0.00221,0.01181,0.04206,0.00778,-0.0081,0.00481,0.01055,0.01577,0.00967,-0.00254,0.01082,0.02454,-0.0171,0.04232
2019-04-02,0.00622,-0.00442,-0.00707,0.00952,-0.02353,0.00053,-0.00253,-0.0024,-0.00341,-0.01443,0.003,0.00289,-0.00537,-0.01852,-0.00471
2019-04-03,0.01844,0.00881,0.03103,0.01105,-0.04463,0.00827,0.00719,0.0048,0.00883,0.00238,0.00804,0.0033,-0.00876,0.00967,0.02694
2019-04-04,0.00486,-0.0044,-0.00306,0.01253,-0.03806,-0.00228,-0.00935,-0.0006,0.00741,0.00583,-0.00069,0.00041,0.01413,-0.00297,-0.00658
2019-04-05,0.00194,0.00877,-0.00077,-0.00178,0.0422,-0.00018,0.00582,-0.0045,0.0,0.00665,0.00388,0.00164,-0.00153,-0.00335,-0.00696
2019-04-08,-0.00388,0.00653,-0.00077,-0.00411,-0.0083,-0.00317,-0.00215,0.0039,-0.00045,-0.0088,0.01695,-0.00205,-0.01467,-0.00598,-0.00936
2019-04-09,0.00024,-0.00435,-0.00154,-0.01242,0.01653,-0.00282,0.00467,-0.0036,0.00157,0.0,0.00358,-0.00536,-0.00286,0.00243,0.00268
2019-04-10,0.00388,0.01514,-0.00077,-0.00363,-0.00411,0.00282,0.00327,0.0021,-0.00673,0.00323,-0.00156,0.00372,-0.00339,-0.00581,-0.00925
2019-04-11,0.00747,0.00642,0.0069,0.00833,-0.025,-0.00583,-0.001,0.0024,0.00583,0.0143,0.00535,0.00041,0.04291,-0.01879,0.00539
2019-04-12,0.00024,0.03148,0.01441,0.02405,0.0,-0.00587,-0.00681,0.00626,0.02169,0.00802,-0.00178,0.00984,-0.01005,-0.01409,0.04116
2019-04-15,0.00551,0.18094,0.01346,-0.00547,0.02911,-0.00518,-0.00927,0.00534,0.00763,0.00587,0.01064,-0.01355,-0.00888,0.01409,0.00659
2019-04-16,0.01116,-0.06224,0.00519,0.01074,-0.00411,-0.01881,-0.01569,0.0056,0.0093,0.00417,-0.00753,0.007,-0.00357,0.00687,0.03154
2019-04-17,0.00846,-0.02791,-0.00593,0.01994,0.0,0.008,0.00026,0.0117,0.00836,-0.00292,0.05553,-0.00742,0.01522,-0.00764,0.00758
2019-04-18,0.0049,-0.02871,-0.00149,0.01702,-0.00826,0.00072,0.00013,-0.00905,-0.00406,-0.00859,0.00042,0.01803,-0.00632,-0.01546,-0.01709
2019-04-23,-0.0014,0.01923,0.00077,-0.00118,0.01237,-0.00109,0.02344,0.0,-0.00494,-0.01186,-0.00611,0.01165,0.0048,-0.02864,-0.01208
2019-04-24,-0.01008,-0.04879,-0.02014,-0.01002,0.02028,-0.00272,-0.01582,-0.00206,-0.02002,-0.00299,-0.02136,-0.00895,0.00101,-0.01718,-0.01881
2019-04-25,0.00564,0.0198,0.00935,-0.01427,-0.01212,0.00616,-0.00283,0.00294,0.00088,-0.00086,-0.00411,-0.00574,-0.00227,-0.0045,-0.00447
2019-04-26,0.00211,-0.00985,0.00077,0.01068,-0.00407,0.00845,-0.01063,0.0105,0.00351,0.00661,0.00303,-0.0066,-0.00608,0.02228,0.00133
2019-04-29,0.0028,0.02927,0.01842,-0.0036,0.00813,-0.00575,-0.01603,-0.00261,0.02036,0.01811,0.0131,0.0,-0.00458,0.0042,0.02374
2019-04-30,0.00023,0.00957,-0.00457,-0.00396,-0.01633,0.01537,0.00792,0.00609,0.00214,-0.01429,0.0144,-0.00124,0.02967,-0.0056,-0.00259
2019-05-02,0.00442,-0.0241,-0.0069,0.01558,-0.025,-0.01106,-0.01216,-0.00029,-0.00429,0.0057,-0.00739,-0.00124,-0.02636,-0.00543,0.00389
2019-05-03,-0.00372,-0.0098,0.00231,-0.00802,0.025,0.00322,0.00359,0.00087,-0.00215,-0.0057,0.0,-0.00666,0.01189,0.00823,-0.01236
2019-05-06,-0.01266,-0.01489,-0.03356,-0.01658,0.0,-0.0061,-0.01442,-0.00899,-0.0141,-0.01557,-0.00979,-0.01176,-0.03089,-0.0141,-0.03326
2019-05-07,0.03106,-0.01207,0.00238,-0.01315,-0.03348,0.00735,-0.02602,-0.0038,-0.02097,-0.01059,0.00746,0.03812,-0.00912,-0.01822,-0.03249
2019-05-08,0.00239,-0.00813,0.00316,0.01088,0.0,-0.00465,-0.00069,-0.00117,-0.01166,0.00369,-0.03215,0.02608,0.01119,-0.01961,-0.00122
2019-05-09,-0.05668,0.01217,-0.02477,-0.02689,0.00847,-0.01028,-0.01083,-0.01268,-0.02351,-0.02721,-0.01236,-0.01035,-0.02595,-0.01807,-0.02731
2019-05-10,0.00503,-0.01217,0.0,-0.03726,-0.01702,0.00578,-0.00406,0.00355,-0.00231,0.01282,-0.00089,-0.002,0.02776,0.00214,0.00734
2019-05-13,-0.01171,-0.0082,-0.01057,-0.02889,0.0,-0.00796,0.01088,-0.00593,-0.0194,-0.02333,-0.01162,-0.01821,-0.02617,-0.01989,-0.02842
2019-05-14,0.01442,-0.01451,0.0138,0.00953,0.02123,0.01227,0.01254,0.01447,0.015,0.00605,0.03034,0.03254,0.02539,-0.00943,-0.01703
2019-05-15,0.00659,-0.05802,-0.01299,0.02954,0.02079,-0.00018,-0.00591,-0.00411,-0.00864,-0.02855,-0.00635,0.01179,0.09392,-0.01757,-0.00675
2019-05-16,0.02286,0.04963,0.01379,-0.00684,-0.01242,0.00287,0.01585,0.00821,0.0241,0.02542,0.01287,0.00739,0.00937,0.03613,0.01696
2019-05-17,-0.00536,-0.01058,-0.00081,-0.00633,0.00416,0.00695,0.00608,-0.00732,-0.00597,-0.00629,-0.02257,-0.00311,-0.00702,0.00216,-0.02035
2019-05-20,-0.01279,0.04167,-0.00323,-0.03399,0.00826,0.01078,-0.00097,0.01204,0.00228,-0.00248,0.00883,-0.01489,-0.02268,-0.01173,-0.02174
2019-05-21,0.00789,0.04001,-0.00487,0.00789,-0.0166,0.01414,0.00856,0.00184,-0.00051,0.00609,0.00635,0.01411,0.02601,0.02225,-0.00309
2019-05-22,-0.00517,-0.0218,-0.00081,-0.02111,-0.01688,-0.00156,-0.00843,-0.00215,-0.01807,-0.0225,-0.01784,-0.00234,-0.02846,-0.02729,-0.01011
2019-05-23,-0.01217,-0.05563,-0.01393,-0.01019,0.0,-0.01433,-0.03515,-0.02109,-0.02008,-0.01179,-0.02612,-0.0102,-0.01082,-0.02941,-0.011
2019-05-24,0.00672,0.05763,0.00247,0.00221,0.02521,0.01901,0.00958,0.01986,0.00827,0.00348,0.01719,0.00903,0.01473,-0.00954,0.02285
2019-05-27,0.00742,-0.05129,0.00082,0.00336,0.0,-0.00311,0.00114,-0.01143,-0.00554,-0.00931,-0.00247,-0.00117,-0.01919,-0.00549,-0.02304
2019-05-28,-0.00519,-0.02128,-0.00826,0.00147,0.0,0.0,-0.00313,-0.00717,-0.01117,-0.00681,-0.0079,0.00934,0.00594,0.02022,-0.01453
2019-05-29,-0.01341,-0.01517,-0.00499,-0.0099,-0.00416,-0.02314,-0.02104,-0.0107,-0.0113,-0.01304,-0.02037,-0.01365,-0.01468,-0.00496,0.02201
2019-05-30,0.01168,0.02373,0.00499,0.00106,-0.00418,-0.01465,-0.00306,0.00568,-0.00032,-0.00143,0.01514,0.00548,-0.02743,-0.00544,-0.00314
2019-05-31,-0.01389,0.0106,-0.01,-0.01771,0.00418,0.00234,-0.00821,-0.01139,-0.01698,-0.01178,-0.00938,-0.00313,-0.0402,-0.00045,0.00196
2019-06-03,0.00171,-0.01488,0.00668,0.00322,0.0,0.00787,0.01752,-0.00223,-0.00426,-0.00582,0.00207,-0.00196,0.0008,-0.00342,-0.00512
2019-06-04,0.02008,0.00214,0.01404,0.04161,-0.00418,0.01678,0.01423,0.0133,0.02178,0.0176,0.02515,0.00196,0.00588,0.03629,0.02859
2019-06-05,-0.00394,0.00639,0.01304,-0.01472,0.00418,0.00297,-0.01076,-0.00821,-0.00872,0.00809,-0.00696,0.00936,0.02991,-0.00884,-0.03513
2019-06-06,-0.00074,-0.00213,-0.00243,0.0,-0.00418,0.01387,0.0023,0.00348,-0.01284,-0.00547,0.00539,0.01846,0.01513,-0.02018,-0.01118
2019-06-07,0.01008,-0.00855,0.00969,-0.00492,0.0,0.01453,0.00431,0.00253,0.0035,0.00499,0.01953,0.0125,0.02762,0.01417,0.00621
2019-06-10,-0.00147,0.00428,-0.00403,0.00763,-0.0084,-0.01075,0.00286,0.00785,0.00707,0.01506,0.0,0.01234,0.00986,0.03143,0.02191
2019-06-11,0.01291,0.0,0.00161,0.01211,0.00421,0.00343,0.00328,0.01027,0.00076,-0.00023,0.01331,0.01329,-0.00442,0.01076,0.00234
2019-06-12,-0.00024,0.0,-0.01298,-0.00982,-0.01695,0.00716,-0.01622,-0.00217,-0.01045,-0.00468,-0.00391,0.0033,-0.00345,-0.01141,-0.02126
2019-06-13,0.00459,0.0,0.00651,-0.00166,-0.00858,0.017,0.00606,0.00434,0.00763,0.00585,0.00478,-0.00146,-0.01218,0.00281,0.01462
2019-06-14,-0.0058,-0.00858,-0.01553,-0.01247,0.0043,0.0131,0.00287,-0.00279,-0.0025,-0.00515,0.00389,-0.00404,-0.00401,-0.01086,-0.00669
2019-06-17,0.01013,-0.00216,0.00082,-0.00243,-0.06654,0.00165,-0.00532,0.00618,-0.00349,-0.00023,-0.00519,0.0066,0.00676,0.0024,-0.00257
2019-06-18,0.01453,-0.0065,0.02117,0.02153,0.00913,0.02549,0.02041,0.01952,0.02289,0.02159,0.00756,0.03234,0.0324,0.02707,0.03711
2019-06-19,-0.00142,0.01938,0.00803,0.01834,0.00454,-0.0108,0.00465,0.00572,0.01788,0.01504,0.00879,-0.01138,0.00145,0.0076,0.01627
2019-06-20,0.00331,0.0,0.00478,0.00749,-0.00454,0.00324,0.00952,-0.00572,-0.00864,-0.00317,0.01525,0.02263,0.01246,0.01834,-0.00527
2019-06-21,0.00588,0.00213,0.00634,-0.00394,0.00905,0.00676,0.01713,0.00752,-0.00839,0.00769,-0.00021,0.00175,0.00428,0.03391,0.00226
2019-06-24,-0.004,-0.01501,0.02267,-0.03438,0.0,-0.00112,-0.00577,0.0006,-0.00011,0.0018,0.01759,-0.00105,-0.01097,-0.022,-0.0167
2019-06-25,-0.00094,-0.02404,-0.01401,-0.00409,-0.00905,-0.00386,-0.00566,-0.0045,-0.00342,-0.00518,-0.00695,-0.01089,-0.00433,-0.0082,-0.01757
2019-06-26,0.00071,0.01319,0.00078,0.01399,0.00454,-0.02053,0.0047,-0.00332,0.00502,0.02013,-0.00415,-0.01244,0.00481,-0.02226,0.02539
2019-06-27,-0.00733,-0.01762,0.01245,0.00021,0.08248,0.00148,-0.0029,-0.00302,0.00043,0.00662,0.00088,0.00713,-0.00336,0.00921,0.02049
2019-06-28,0.00403,0.00664,0.00155,0.0141,0.07232,0.00916,0.00963,0.00302,0.00181,-0.00286,0.01304,0.0141,0.0091,0.00104,0.00704
2019-07-01,0.01198,-0.00664,0.00077,0.00459,-0.01957,-0.00228,0.00233,0.00422,-0.00768,-0.01288,-0.00173,0.00872,0.01043,0.0054,-0.01508
2019-07-02,0.00745,0.0,0.00539,-0.0091,0.03876,0.02164,-0.00975,0.00809,0.00927,0.01133,0.02373,0.01379,0.00283,-0.00936,-0.01075
2019-07-03,0.00555,0.00222,0.02276,0.00614,-0.02308,0.02337,0.00482,0.01774,0.04957,0.02574,0.02339,0.01731,0.01355,0.02865,0.05424
2019-07-04,0.00115,0.00221,0.00822,0.00367,0.03442,0.00607,0.00534,0.00205,0.02256,0.01962,0.00617,-0.0027,0.00093,0.01212,0.04837
2019-07-05,-0.003,0.00442,-0.01047,-0.00694,0.01122,-0.00732,-0.00658,-0.00498,0.00296,-0.00487,-0.0037,-0.00609,-0.00978,-0.00382,-0.01205
2019-07-08,0.00438,0.0022,-0.0015,-0.00688,0.03291,0.00156,0.00712,0.00586,-0.00716,-0.00895,-0.00144,0.00677,-0.00047,-0.00728,-0.01782
