,X.MI,Y.MI,Z.MI,A.MI,C.MI,E.MI,D.MI,G.MI,I.MI,M.MI,P.MI,R.MI,S.MI,T.MI,U.MI
2019-07-09,0.00253,-0.01774,-0.00832,-0.01579,-0.03663,-0.00016,-0.00712,0.00292,-0.00547,-0.00322,-0.00475,-0.00778,-0.02178,-0.00122,0.00317
2019-07-10,-0.00529,0.02431,0.00982,-0.01456,-0.03031,0.00265,0.01066,0.00262,0.01214,0.00941,0.00969,0.00846,-0.00096,0.00567,0.00718
2019-07-11,-0.00185,0.0,0.006,-0.01186,-0.0155,0.01299,0.00637,-0.00029,0.01199,-0.0017,-0.0099,-0.00371,0.00144,0.00101,0.01145
2019-07-12,-0.00301,-0.00219,-0.0015,-0.00669,-0.02372,-0.0091,0.00176,-0.00408,-0.00219,0.00085,0.00062,0.00101,0.00525,0.01184,-0.00484
2019-07-15,0.00923,-0.00659,0.00746,0.0069,0.00399,0.00634,-0.00772,0.00204,-0.00122,-0.00748,0.00434,0.00875,-0.00717,0.00259,-0.00888
2019-07-16,0.00229,0.0,0.00445,0.0075,0.03138,-0.00634,-0.00313,-0.00029,0.00657,0.01067,-0.0087,0.01331,0.00478,0.00159,0.02572
2019-07-17,-0.00597,-0.00442,-0.00966,-0.0131,-0.0274,0.00956,-0.01733,-0.00584,-0.00926,-0.00532,-0.00312,-0.0063,-0.00095,0.00298,-0.01304
2019-07-18,-0.00578,-0.00666,0.0,-0.01668,-0.016,0.00704,-0.00794,0.00088,0.00342,0.00256,-0.00209,-0.00534,0.00714,0.00237,0.00585
2019-07-19,-0.00186,-0.02025,-0.01127,-0.00055,-0.04537,-0.0422,-0.00561,-0.01059,-0.0207,-0.02108,-0.01751,-0.00604,-0.00809,-0.03009,-0.03725
2019-07-22,-0.00489,0.02025,-0.00378,0.00985,0.01258,0.02013,0.00673,0.00295,0.00174,0.00477,0.00446,0.00436,0.00524,-0.00122,-0.00339
2019-07-23,0.01044,-0.00895,-0.00076,0.05137,-0.00837,0.00016,0.00516,-0.00118,0.01162,0.01097,-0.00637,0.01132,-0.00524,0.01055,0.02611
2019-07-24,-0.00556,0.00672,0.00605,0.02149,0.0,0.00889,0.00167,0.00383,0.0,-0.0045,0.00192,-0.00664,0.00334,0.00543,-0.00314
2019-07-25,-0.01238,0.00223,-0.00605,-0.02253,-0.01695,-0.0132,-0.00445,-0.00679,-0.0074,0.00064,0.00784,-0.00669,0.00143,-0.00301,-0.0007
2019-07-26,0.00047,-0.00895,0.00152,0.00135,0.00426,-0.00594,-0.00084,0.00178,-0.00496,0.00215,-0.0072,-0.00302,0.0019,0.03965,-0.00755
2019-07-29,-0.00047,0.0,0.0,-0.00031,0.0,0.00578,-0.0063,0.00236,-0.0094,-0.00215,0.01916,-0.00642,-0.00285,0.01345,-0.02841
2019-07-30,-0.01635,-0.00676,-0.02299,-0.02366,0.00847,-0.0124,-0.01087,-0.01426,-0.01274,-0.02413,-0.02642,-0.0233,-0.0202,-0.03535,-0.03279
2019-07-31,0.00572,0.02679,0.00232,0.00042,0.01258,0.00485,0.00777,0.00775,-0.00285,-0.00375,0.0339,0.01001,-0.0812,0.00945,-0.00225
2019-08-01,0.00119,-0.01778,0.03794,-0.01139,-0.01258,0.00659,-0.00763,0.00089,0.02,0.00154,0.00989,0.02542,-0.00502,0.00371,0.0015
2019-08-02,-0.02232,0.01336,-0.00822,-0.02681,-0.01702,-0.00675,-0.02996,-0.01434,-0.02399,-0.0187,-0.01175,-0.04448,-0.02006,-0.02549,-0.02601
2019-08-05,-0.01639,0.0,-0.01361,-0.02936,0.02543,-0.01201,-0.01473,-0.01059,0.00775,-0.00722,-0.0161,-0.01445,-0.01607,-0.02288,-0.00328
2019-08-06,-0.00892,-0.00889,-0.00305,-0.02002,0.0,0.00163,-0.00715,-0.00641,-0.01186,-0.00887,-0.01594,-0.02008,-0.0011,-0.01009,-0.00853
2019-08-07,-0.0086,-0.00223,0.00305,0.00507,-0.01263,0.0,-0.0143,-0.00153,-0.01795,-0.01125,0.0153,0.01617,-0.00055,-0.00373,-0.0507
2019-08-08,0.0091,0.0,0.00909,0.00276,0.00844,0.00098,0.01803,0.00763,0.01836,0.00828,0.01632,0.01976,0.00685,0.01484,0.01423
2019-08-09,-0.01201,0.0,-0.05742,0.01367,-0.01695,-0.01708,-0.01818,-0.02745,-0.03697,-0.02693,-0.06916,-0.02119,-0.02126,-0.06029,-0.05263
2019-08-12,0.00592,-0.00448,0.0008,-0.04169,-0.0216,0.00463,-0.00167,0.00312,-0.02091,-0.00188,0.01172,0.01277,-0.00728,-0.00873,-0.01457
2019-08-13,0.01105,0.0,0.00159,0.01347,-0.02655,0.00231,0.0188,0.0056,0.0275,0.00517,0.02281,0.01191,0.007,-0.01169,0.03009
2019-08-14,-0.02883,0.0,-0.01687,-0.03072,0.0,-0.01142,-0.02398,-0.0131,-0.02229,-0.02349,-0.01799,-0.02396,-0.02487,-0.02039,-0.03811
2019-08-16,0.01135,0.01117,0.02085,-0.01134,0.01336,0.04491,-0.00474,0.00376,0.01953,0.02114,0.00979,-0.00107,-0.01906,0.00744,0.03643
2019-08-19,0.015,-0.01794,0.02431,0.01804,0.01319,0.01171,0.01779,0.01213,0.01696,0.01076,0.0284,0.01171,0.03186,0.02529,0.02405
2019-08-20,-0.00248,0.05502,0.00077,-0.00958,0.0087,-0.01953,-0.00984,0.00278,-0.00566,-0.00303,-0.00697,-0.01529,0.00254,-0.02058,-0.02269
2019-08-21,0.00744,-0.00429,0.0222,0.00875,-0.0087,0.01306,0.01555,0.00951,0.01004,0.01505,0.0276,0.01599,0.01176,0.02014,0.00928
2019-08-22,-0.01292,0.00643,-0.00227,-0.00107,0.01302,-0.0054,-0.00285,-0.00336,0.00994,0.00755,-0.00351,-0.0142,-0.00811,0.00764,0.01259
2019-08-23,-0.00753,0.02114,-0.01683,-0.02601,-0.00432,-0.00975,-0.01285,-0.00954,-0.02008,-0.01147,-0.0277,-0.01332,-0.01499,-0.01578,-0.03145
2019-08-26,-0.0001,-0.02543,0.00845,0.01424,0.0,0.01705,0.00577,0.00124,0.01915,0.01238,0.00213,0.02009,0.00427,0.01448,0.01439
2019-08-27,0.00141,0.0,0.00838,0.00482,0.0,0.02635,0.00633,0.01502,0.00422,0.00341,0.00825,0.0294,0.01269,0.01556,0.01336
2019-08-28,-0.00941,0.03996,0.00076,0.00348,-0.01307,0.00031,0.00734,-0.01009,0.01042,0.00859,-0.01058,-0.01564,-0.01184,0.01299,0.01744
2019-08-29,0.01212,0.01636,0.00906,0.00633,-0.0044,0.01995,0.01614,0.00948,0.02255,0.0205,0.04596,0.00733,0.00565,0.02508,0.02851
2019-08-30,0.00401,0.00607,-0.01133,0.01759,0.01313,-0.00575,0.00454,0.00304,-0.01013,-0.00642,-0.00693,-0.00383,-0.0208,-0.00021,-0.01146
2019-09-02,0.00822,0.01798,0.00303,-0.00293,-0.01754,0.01296,0.00234,0.00212,0.00515,0.00642,0.01059,0.00453,0.01031,0.0033,0.00535
2019-09-03,-0.00982,-0.00496,0.00076,0.01097,0.00442,0.00015,-0.00805,0.00242,-0.0015,0.00572,0.00243,0.00658,-0.00228,0.00554,0.00079
2019-09-04,0.00584,0.00496,0.01577,0.01806,-0.0133,0.0085,0.00499,0.01738,0.01341,0.01545,0.01901,0.00517,0.01755,0.00795,0.02034
2019-09-05,0.00818,-0.00995,0.00446,0.03736,0.00889,-0.01089,0.01438,0.0124,0.01396,0.01946,-0.00397,0.00855,0.02958,-0.00163,0.03426
2019-09-06,0.00713,-0.00803,0.0,-0.0065,0.00442,-0.00677,-0.00709,0.00351,0.00534,0.00233,0.00248,0.01151,-0.003,0.00971,-0.00544
2019-09-09,0.00976,-0.01626,0.01838,0.02499,-0.0133,-0.01139,0.01098,0.00554,0.01655,0.00506,0.0005,-0.01493,-0.00988,0.00642,0.02837
2019-09-10,0.00702,-0.01653,0.00218,0.01104,-0.01802,-0.00844,0.01285,-0.00145,0.01041,0.00733,-0.01701,-0.06167,-0.00415,0.00797,-0.00385
2019-09-11,0.00433,-0.01047,-0.00437,0.00828,0.0,-0.00742,-0.00199,0.00956,-0.00733,-0.00754,0.00403,0.00941,0.0222,0.01086,-0.01256
2019-09-12,0.0086,0.027,0.0,0.00632,0.0,0.0262,-0.01244,0.00918,0.00685,0.00503,0.01744,0.00252,-0.01364,0.00919,0.0206
2019-09-13,0.009,-0.0207,0.02309,0.01884,0.0,-0.00318,0.01031,-0.00143,0.02765,0.00937,0.00591,-0.00252,0.01364,0.01353,0.04207
2019-09-16,-0.00473,-0.0084,-0.01004,-0.00631,0.00905,-0.01683,0.01904,-0.00574,-0.0178,-0.00958,-0.01235,-0.01195,-0.0186,-0.00829,-0.01726
2019-09-17,-0.00451,-0.0106,0.00431,-0.01949,-0.00905,0.00539,-0.01138,-0.00288,-0.00867,-0.00419,-0.00859,0.01195,-0.02092,-0.01698,-0.03396
2019-09-18,0.00309,0.00426,0.00999,0.00137,0.00454,0.0202,0.01208,0.01005,0.00047,0.00712,0.01848,0.00539,0.0031,0.00999,0.00184
2019-09-19,0.00497,0.09897,0.00142,0.00148,-0.00454,-0.00528,0.00626,0.02176,0.01772,0.01182,-0.00791,-0.00036,-0.01187,0.02102,0.02249
2019-09-20,0.00306,-0.02927,-0.00712,-0.00095,0.01354,-0.00591,0.00953,-0.00224,0.00092,0.02766,0.00987,-0.00611,0.00341,-0.00268,0.00161
2019-09-23,-0.00377,-0.03424,-0.01802,-0.02871,0.0,0.01434,0.00127,0.00364,-0.01184,-0.00765,-0.01136,-0.0018,-0.03197,-0.01543,-0.03498
2019-09-24,-0.00711,-0.00823,0.0058,-0.01049,-0.01354,0.01444,-0.01024,-0.00252,-0.00492,0.00141,0.02065,-0.01016,-0.00234,-0.00039,-0.00819
2019-09-25,-0.00669,0.01842,-0.00944,-0.00783,0.00905,-0.00563,-0.00962,0.0053,0.00234,0.00563,-0.00586,-0.00512,-0.00323,0.00524,-0.01166
2019-09-26,0.01001,0.0141,0.00146,-0.00733,-0.01361,0.01504,0.00518,-0.00335,0.00374,0.01385,-0.00049,0.0142,0.01287,-0.00368,0.00754
2019-09-27,0.00213,-0.00803,0.00509,0.01087,0.00456,-0.00676,0.00858,-0.00224,0.00813,-0.01285,0.00489,0.014,-0.00993,0.0087,0.01398
2019-09-30,0.00966,-0.0081,-0.00073,0.0055,0.0,0.00953,-0.00142,-0.00449,0.00692,0.0044,0.01643,0.00923,-0.005,0.00729,0.00148
2019-10-01,-0.00541,-0.02678,-0.00073,-0.00848,0.0,-0.00498,-0.00386,-0.00225,-0.00947,-0.004,-0.014,-0.02034,-0.00532,-0.0023,-0.01209
2019-10-02,-0.0212,0.00832,-0.01316,-0.02113,-0.01373,-0.02195,-0.0308,-0.01677,-0.02871,-0.02804,-0.03171,-0.04009,-0.03408,-0.0553,-0.04145
2019-10-03,-0.00483,-0.00207,0.0,-0.00226,0.00917,-0.00451,-0.01098,0.00543,-0.00143,0.01209,0.00221,0.00785,0.00367,0.00525,-0.00567
2019-10-04,-0.00339,-0.01043,0.02111,-0.01403,-0.00458,0.01717,0.01009,0.00625,0.00215,-0.00449,-0.0006,0.01771,0.00153,0.00161,0.00098
2019-10-07,0.00605,-0.0042,0.00216,0.00664,0.0,0.01338,0.00794,0.00678,0.00595,0.00266,0.02816,-0.0011,-0.0052,0.01377,0.00761
2019-10-08,-0.0097,-0.00422,-0.00072,-0.00997,-0.0046,-0.01072,-0.00868,-0.00141,-0.01049,-0.00593,-0.01324,-0.0129,-0.02014,0.00415,-0.01173
2019-10-09,0.00656,-0.00636,-0.00072,0.02514,0.05382,0.00633,0.00486,0.00478,0.00835,0.00164,0.00836,0.00702,0.00717,0.03071,-0.00059
2019-10-10,0.00386,-0.0107,0.00431,0.02156,-0.02655,-0.00707,0.00601,0.00224,0.02163,0.01505,0.00342,0.00478,0.00496,0.01896,0.03899
2019-10-11,0.02406,0.01494,0.03036,0.03395,-0.0181,0.00486,0.01119,0.01085,0.01684,0.018,0.03169,0.02534,0.01504,0.00674,0.03351
2019-10-14,-0.00709,-0.00212,0.00831,0.00127,0.00909,-0.00309,-0.00667,-0.00555,-0.00275,0.00149,0.00142,0.0025,-0.00764,-0.00599,-0.00514
2019-10-15,0.01506,0.00212,0.00756,0.02267,0.01794,0.00867,0.00682,0.00776,0.01367,0.02057,0.01359,0.01451,0.01341,0.00934,0.03134
2019-10-16,-0.0007,0.00423,0.00818,0.01483,-0.01342,-0.00484,-0.00159,0.00028,0.01281,0.01109,-0.01454,0.01983,-0.01772,0.00297,0.0175
2019-10-17,0.01161,-0.00423,0.00811,0.0123,0.0,-0.00516,-0.00522,-0.00055,-0.00313,0.01428,0.01127,-0.01702,-0.00525,-0.00167,0.0021
2019-10-18,0.00553,0.00212,0.01205,-0.01619,0.0,-0.0003,0.00262,0.00523,0.00134,0.00377,0.00559,-0.01875,-0.00341,-0.00577,0.00558
2019-10-21,0.00869,0.0,0.00597,0.01386,-0.01818,0.00883,0.0042,0.00984,0.00825,-0.00283,0.00325,-0.00036,-0.00093,0.00391,0.02083
2019-10-22,0.00635,0.00422,0.00264,0.00555,0.01818,0.00146,0.00835,-0.00109,0.00972,-0.00284,0.01151,0.00357,-0.00531,0.0026,-0.00495
2019-10-23,0.00045,-0.00422,0.00198,0.01628,-0.00451,-0.01369,0.00842,0.00191,-0.0022,0.00943,0.00229,-0.02304,-0.00722,-0.00446,-0.00206
2019-10-24,0.00699,-0.01063,0.00394,0.03676,-0.00454,0.01589,0.00468,0.00054,0.00044,0.0098,0.00365,0.01769,-0.00221,-0.00842,-0.00464
2019-10-25,-0.00337,0.01063,0.00654,0.01478,0.0,0.00393,-0.00696,-0.00245,0.00066,0.0074,-0.0119,0.00357,0.01877,0.00188,-0.00622
2019-10-28,0.00225,-0.00424,0.00195,0.0075,-0.00456,-0.00233,-0.00729,0.00218,0.00264,-0.00092,0.00459,0.01346,0.041,0.0,0.00415
2019-10-29,-0.00315,0.0,-0.00065,-0.00093,-0.00458,0.00116,-0.00792,-0.00163,-0.00286,0.00368,-0.00183,-0.00106,-0.01227,-0.00376,0.01048
2019-10-30,-0.00656,0.08931,0.0013,-0.00939,0.00913,0.0045,-0.00945,-0.0071,-0.0104,-0.01856,0.00183,0.00316,0.0072,-0.01289,-0.01898
2019-10-31,-0.00478,-0.01961,-0.0013,-0.01043,0.0,0.00535,-0.00939,-0.0033,-0.00111,-0.00234,-0.00275,0.007,0.00179,0.00095,-0.01015
2019-11-01,-0.00046,0.00985,0.00325,0.00343,0.01802,-0.0013,0.00983,0.01094,0.01195,0.00795,0.01369,0.00695,0.0009,0.00114,0.01363
2019-11-04,0.01292,0.00976,-0.0013,0.0119,0.0133,0.00532,0.01951,0.00678,0.01441,0.0212,0.00588,0.06304,0.01363,0.00815,0.02095
2019-11-05,-0.00135,-0.01961,0.0013,0.00113,0.00877,-0.00836,0.0159,0.00485,0.01464,-0.0064,0.00674,-0.02701,0.00206,-0.00416,0.01635
2019-11-06,0.01278,-0.00496,0.01161,-0.01246,0.05107,-0.00159,-0.0024,0.00027,-0.00107,-0.01061,-0.01579,0.00033,0.01399,0.00095,0.01031
2019-11-07,0.00267,0.03903,0.0573,0.02086,-0.02948,-0.02154,0.00085,0.03358,0.00788,-0.01778,-0.01235,0.00233,0.01066,0.00736,0.05787
2019-11-08,-0.02724,-0.02421,0.01621,-0.0041,0.0,0.01674,0.00099,-0.0026,-0.00553,-0.01474,-0.00184,-0.00367,-0.00029,0.01159,-0.01542
2019-11-11,0.00524,0.00489,0.02761,0.00112,0.03774,-0.00087,-0.00381,0.00052,0.00596,0.0,0.01192,-0.00603,0.0,-0.0146,-0.00876
2019-11-12,-0.00615,-0.00489,0.01723,0.00539,0.00411,0.01777,0.00831,0.01603,0.00887,0.01992,0.0212,0.00637,0.002,0.01144,0.02012
2019-11-13,-0.00849,-0.00985,-0.02071,-0.00539,-0.0207,-0.00762,-0.00506,-0.0085,-0.01397,-0.00802,-0.00806,-0.00469,0.03953,-0.00056,-0.02204
2019-11-14,0.0023,0.00985,0.0,-0.04346,-0.01263,-0.00797,-0.00325,-0.00805,-0.00814,-0.00095,0.00225,0.00502,0.00027,0.00984,-0.00821
2019-11-15,0.00161,0.0,0.00232,-0.01077,0.0,-0.00189,0.00592,-0.00052,0.00515,0.00896,0.00179,0.00898,-0.01802,0.00516,0.00532
2019-11-18,-0.00069,0.00489,0.01475,-0.01939,0.0,0.00523,-0.00777,-0.00628,0.00512,0.01318,0.00535,-0.01199,-0.03184,0.00129,-0.00807
2019-11-19,0.00801,-0.03474,0.02659,0.01049,-0.00851,-0.00991,-0.00997,-0.01854,-0.00106,-0.00389,-0.01732,-0.00909,-0.00812,0.01277,0.00291
2019-11-20,-0.0064,-0.00608,0.02312,-0.00219,0.00426,-0.00381,0.003,-0.00321,-0.00107,-0.00293,0.00915,0.00909,0.00754,0.02382,-0.00113
2019-11-21,-0.00023,-0.00407,0.00223,0.01678,-0.01285,-0.00427,0.00214,0.0008,0.00383,0.00778,-0.01238,0.00501,-0.00203,0.02826,0.0087
2019-11-22,0.00435,0.04001,0.01381,0.01939,0.0,-0.0037,-0.00328,0.0,-0.00447,-0.00388,0.00827,-0.00367,0.00029,0.00498,-0.00241
2019-11-25,-0.00389,0.0,-0.00826,0.01695,0.10234,0.01325,0.00371,-0.00618,0.00383,-0.00292,0.00274,0.01494,0.01323,-0.00051,0.02853
2019-11-26,-0.00414,-0.00491,0.01754,-0.00872,-0.03565,0.00859,-0.00829,0.00806,-0.00447,0.00729,-0.00917,0.01472,0.01136,-0.00446,-0.00548
2019-11-27,0.00368,0.0,0.00326,-0.00057,-0.0081,0.00058,-0.00302,0.00027,-0.00621,-0.00437,-0.00647,0.00744,0.02896,-0.01281,-0.00551
2019-11-28,0.00092,0.01951,0.00809,-0.00881,0.0081,-0.00465,-0.0065,-0.00536,-0.00755,-0.00292,-0.01447,-0.01135,-0.01021,-0.00928,-0.01
2019-11-29,-0.00298,-0.00484,-0.00972,-0.01453,-0.00404,-0.00219,-0.00625,-0.0035,-0.00412,-0.0098,-0.00424,0.00033,0.00332,-0.0007,0.00223
2019-12-02,-0.01529,0.0,-0.00927,-0.02629,-0.02875,-0.0373,-0.01041,-0.01304,-0.01291,-0.0094,-0.03312,-0.03449,-0.02944,-0.0273,-0.01556
2019-12-03,-0.00234,-0.01467,-0.00274,-0.01493,-0.02532,0.01084,-0.0068,-0.00109,-0.01151,-0.00548,0.01068,0.01938,0.00057,-0.00308,-0.00454
2019-12-04,0.0107,0.00491,0.01147,0.00759,0.00851,0.00791,0.01268,0.00655,0.02028,0.00846,0.01295,0.00297,0.00227,0.01584,0.01899
2019-12-05,-0.00813,0.00489,0.00757,-0.00556,-0.01279,-0.00104,-0.00059,-0.00819,-0.00131,-0.00397,-0.01828,-0.00496,0.07118,-0.01005,-0.01348
2019-12-06,0.01068,0.00971,-0.00811,-0.0002,0.02123,0.0077,0.00919,-0.00165,0.01108,0.00298,0.00146,0.0,0.0079,-0.00072,0.02945
2019-12-09,0.00208,0.01439,-0.01864,-0.00274,0.00837,-0.01457,-0.01051,-0.00082,-0.00716,-0.01651,-0.01268,-0.01942,-0.03849,-0.01034,-0.00047
2019-12-10,-0.01322,0.01418,0.00276,-0.0093,-0.01681,0.00805,0.00293,0.00137,0.00304,0.01998,0.01414,0.00808,-0.00464,0.00364,0.00875
2019-12-11,0.00883,0.03687,0.00441,0.0171,0.0496,0.01093,-0.00543,0.00219,0.00303,-0.00347,-0.0112,-0.00067,-0.00577,0.0076,0.00016
2019-12-12,0.00944,-0.00454,0.00055,0.01244,-0.02449,0.00601,0.00426,0.00546,0.0178,0.00495,0.01651,0.00502,0.00522,0.0,0.03124
2019-12-13,0.01117,0.00905,-0.0044,0.00695,-0.01667,0.01147,-0.00338,-0.00109,-0.01047,-0.01904,-0.02092,-0.01514,0.0041,-0.0076,-0.01366
2019-12-16,0.00272,0.00449,0.01097,0.0075,0.0249,0.00216,0.00147,0.00788,0.00792,0.00662,0.00881,0.0044,0.01247,0.00706,0.01772
2019-12-17,0.00631,-0.02268,-0.00328,0.00471,0.0,0.01004,0.00571,0.00135,0.00701,0.00747,-0.0093,0.01108,-0.00486,0.00324,-0.00633
2019-12-18,-0.00495,0.00913,-0.0011,-0.01697,-0.00411,-0.004,0.00843,0.00351,0.00127,-0.00448,0.01271,0.00133,-0.00353,0.00628,0.00437
2019-12-19,-0.01067,0.0,-0.00439,-0.0112,-0.00412,0.00272,0.00202,-0.00432,0.0059,-0.0044,0.0,-0.001,0.0183,0.0,0.01493
2019-12-20,0.00705,0.00454,-0.0133,0.00382,0.00412,0.02886,0.0092,0.02562,0.01045,0.01036,0.01303,0.00765,0.01745,0.02611,-0.00252
2019-12-23,-0.00204,-0.02752,-0.00503,-0.00553,-0.00826,-0.00431,0.003,-0.01567,-0.00187,-0.00996,-0.01303,0.00726,-0.00526,-0.00192,-0.00896
2019-12-27,-0.00068,0.00464,0.00168,0.00653,0.0,-0.00517,-0.00114,-0.00429,-0.01914,-0.00905,-0.00487,-0.00066,-0.00927,-0.01955,-0.01678
2019-12-30,-0.00501,0.00462,-0.00899,-0.00744,-0.00416,-0.00929,-0.01106,-0.01108,-0.00276,-0.00872,-0.01228,-0.02734,-0.00266,-0.01019,-0.0075
2020-01-02,0.01473,0.0,0.00451,0.01024,0.03279,0.0196,0.01163,0.00623,0.01374,0.01878,0.00738,0.01109,0.01087,0.00556,0.03531
2020-01-03,-0.01564,0.0,-0.01358,-0.02282,-0.01217,-0.00014,0.00697,-0.00515,-0.01332,-0.00864,-0.01283,-0.00033,-0.01864,-0.00322,-0.01193
2020-01-06,-0.00504,-0.01392,-0.02073,-0.00481,-0.02062,0.00208,0.01478,-0.00736,-0.00405,-0.00912,-0.00868,-0.00873,-0.00269,-0.00919,-0.01863
2020-01-07,0.00367,-0.00939,0.00058,0.0098,0.0083,0.00055,0.00028,0.00736,0.00213,0.00285,0.02543,0.00404,0.00323,-0.00909,0.00594
2020-01-08,-0.00023,-0.00473,0.02299,0.00385,-0.01667,0.00552,-0.00799,-0.00109,-0.00299,0.00909,-0.01377,0.01864,0.01731,-0.02947,0.01269
2020-01-09,0.00979,0.00943,0.03517,0.00837,-0.00844,0.0048,-0.00466,0.00407,0.01528,0.00161,0.01573,0.00756,0.02374,-0.01021,0.01416
2020-01-10,0.00181,-0.02375,-0.0127,-0.00685,0.01681,0.01522,-0.00283,0.00378,-0.00719,-0.00604,-0.0044,0.02105,-0.01795,-0.00304,-0.00877
2020-01-13,-0.00658,-0.00482,-0.00725,-0.01497,-0.00418,-0.00229,-0.00426,-0.00758,-0.00681,-0.00547,-0.00589,-0.00225,-0.01055,-0.02431,-0.00824
2020-01-14,-0.00342,0.01439,-0.00899,-0.00659,0.0,0.0,-0.01189,0.00163,0.00256,0.0002,-0.00891,0.00385,-0.00292,0.00565,0.00809
2020-01-15,-0.00642,0.0,-0.01364,-0.02563,0.02479,0.00283,-0.00549,-0.01256,-0.01157,-0.01329,0.0005,-0.00674,-0.02396,-0.01783,-0.02632
2020-01-16,-0.0023,-0.01923,-0.00057,-0.00691,0.01217,0.02528,0.0065,0.00521,0.00108,0.01024,-0.00199,-0.00614,-0.00519,0.00788,0.00504
